T_K,lambda_c_s^-1,digitization_unc_rel,source_bibkey,source_locator
20,1.833e+07,0.08,YamashitaKino2022,Fig.3a c_t=0.5 EVM-SPM-FIF band centre (digitized)
50,4.845e+07,0.08,YamashitaKino2022,Fig.3a c_t=0.5 EVM-SPM-FIF band centre (digitized)
80,6.417e+07,0.08,YamashitaKino2022,Fig.3a c_t=0.5 EVM-SPM-FIF band centre (digitized)
100,6.705e+07,0.08,YamashitaKino2022,Fig.3a c_t=0.5 EVM-SPM-FIF band centre (digitized)
150,7.150e+07,0.08,YamashitaKino2022,Fig.3a c_t=0.5 EVM-SPM-FIF band centre (digitized)
200,7.491e+07,0.08,YamashitaKino2022,Fig.3a c_t=0.5 EVM-SPM-FIF band centre (digitized)
250,7.700e+07,0.08,YamashitaKino2022,Fig.3a c_t=0.5 EVM-SPM-FIF band centre (digitized)
300,8.355e+07,0.08,YamashitaKino2022,Fig.3a c_t=0.5 EVM-SPM-FIF band centre (digitized)
350,8.643e+07,0.08,YamashitaKino2022,Fig.3a c_t=0.5 EVM-SPM-FIF band centre (digitized)
400,9.298e+07,0.08,YamashitaKino2022,Fig.3a c_t=0.5 EVM-SPM-FIF band centre (digitized)
500,1.092e+08,0.08,YamashitaKino2022,Fig.3a c_t=0.5 EVM-SPM-FIF band centre (digitized)
600,1.372e+08,0.08,YamashitaKino2022,Fig.3a c_t=0.5 EVM-SPM-FIF band centre (digitized)
700,1.595e+08,0.08,YamashitaKino2022,Fig.3a c_t=0.5 EVM-SPM-FIF band centre (digitized)
800,1.970e+08,0.08,YamashitaKino2022,Fig.3a c_t=0.5 EVM-SPM-FIF band centre (digitized)
